                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46701,                0.47453,                0.90465,                0.99472,                0.99242,                0.99452,                0.83153,                0.51647,                0.46327,                0.89971,              0.0096535,              0.0096535,              0.0096535
                     37,                0.46121,                0.45782,                0.90625,                0.99508,                0.99187,                0.99493,                0.78494,                0.53769,                0.40894,                0.89922,              0.0096436,              0.0096436,              0.0096436
                     38,                0.44437,                0.45186,                0.89112,                0.99478,                  0.999,                  0.995,                0.78514,                0.58839,                 0.5048,                0.90777,              0.0096337,              0.0096337,              0.0096337
                     39,                0.45082,                0.44977,                0.90023,                0.99541,                0.99915,                  0.995,                0.79074,                0.60274,                0.45642,                0.93096,              0.0096238,              0.0096238,              0.0096238
                     40,                0.43801,                0.45381,                0.89332,                0.99595,                      1,                  0.995,                0.82101,                0.55202,                0.41809,                0.90379,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.4634,                0.45127,                0.89772,                0.99503,                      1,                  0.995,                0.82606,                0.52999,                 0.3832,                0.89749,               0.009604,               0.009604,               0.009604
                     42,                0.48411,                0.44952,                0.91138,                0.99722,                      1,                  0.995,                 0.8298,                0.51302,                0.38837,                0.89409,              0.0095941,              0.0095941,              0.0095941
                     43,                 0.4642,                0.45535,                0.89498,                0.99571,                0.99932,                  0.995,                0.83616,                0.50117,                0.46325,                0.88814,              0.0095842,              0.0095842,              0.0095842
                     44,                 0.4521,                0.44032,                0.90245,                0.99605,                0.99242,                0.99493,                0.80581,                0.59491,                0.35309,                0.91095,              0.0095743,              0.0095743,              0.0095743
                     45,                0.42792,                0.45843,                0.90188,                0.99147,                      1,                  0.995,                 0.8271,                 0.4913,                0.34001,                0.89128,              0.0095644,              0.0095644,              0.0095644
                     46,                0.44649,                0.45028,                0.89437,                 0.9957,                0.99151,                0.99478,                0.81308,                0.55406,                0.36198,                0.90571,              0.0095545,              0.0095545,              0.0095545
                     47,                0.43604,                0.42589,                0.88612,                0.99509,                 0.9916,                0.99493,                0.84916,                 0.5444,                0.34688,                0.91061,              0.0095446,              0.0095446,              0.0095446
                     48,                0.43678,                0.43931,                0.89497,                0.99504,                0.99163,                0.99478,                0.83609,                0.56051,                0.37929,                0.90523,              0.0095347,              0.0095347,              0.0095347
